# ----------------------------------------
# All Web Site Data
# device
# 20140624-20140624
# ----------------------------------------

device_name	os_version	Pageviews	Unique Pageviews
N91	4.1.2	1	1
Newman+K1	4.2.1	1	1
Newpad	4.0.4	1	1
NewTab+CS1	4.4	1	1
NewTab+F1	4.2.2	1	1
Nexus+4	4.2.2	1	1
Nexus+5	4.4.3	1	1
Nexus+7	4.3	1	1
Nexus+One	2.3.5	1	1
NFT+F818	4.0.3	1	1
NOAIN+T902	4.0.4	1	1
nuoyaxin	2.3.4	1	1
NX1	4.2.2	1	1
NX501	4.2.2	1	1
OBEE+K8007	4.1	1	1
OBEE+K999	4.0.3	1	1
OCCO+V7	4.0.6	1	1
OK+A13	4.2.2	1	1
OK+A35	4.2.2	1	1
OK333	4.1.1	1	1
OKA3	4.2.2	1	1
OKA31	4.2.2	1	1
OKU1	4.0.4	1	1
OKU3+	4.2.2	1	1
OLEDE_M22	2.3.5	1	1
OPSSON+iMO1000	4.0.4	1	1
OPSSON+iMO888	2.3.6	1	1
OPSSON+IVO+6611	4.2.2	1	1
OPSSON+IVO6633	4.2.2	1	1
ouki+A8	4.0.0	1	1
OUKI+OK16S	2.3.6	1	1
OZZO-119+	4.0.3	1	1
OZZO-168S	4.0.4	1	1
P15	4.2.2	1	1
P18	2.3.5	1	1
P706	4.2.2	1	1
P76a双核(M4Q5)	4.1.1	1	1
P76h双核(K8V1)	4.1.1	1	1
P800	4.0.4	1	1
P800A	2.3.6	1	1
P8800	4.2.2	1	1
P900	4.0	1	1
P9100	2.3.5	1	1
P98HD(A2Q6)	4.2.2	1	1
PAD781	4.2.2	1	1
PC7378+S	4.2.2	1	1
PC738	4.1.1	1	1
Philips+W632	2.3.5	1	1
Philips+W737	4.0.4	1	1
PHOLEPS_E9	4.2.2	1	1
Pioneer+E80w	4.0.4	1	1
Pioneer+E90w	4.1.2	1	1
Pioneer+P81	4.2.2	1	1
PULID+F15	4.2.1	1	1
Q18	4.3.1	1	1
Q2时尚	4.2.2	1	1
Q3	4.2.2	1	1
Q3368a	4.1.1	1	1
Q5	4.0.4	1	1
Q5	4.2.2	1	1
Q619	4.2.2	1	1
Q7	4.4.4	1	1
QEDIRS+Q7	4.3.1	1	1
QEDIRS+Q9	4.3.1	1	1
QY+N986	4.2.1	1	1
R518	4.0.3	1	1
R601	4.0.4	1	1
Ramosi8c	4.2.2	1	1
ratech15cu_nand_6626_gb2	2.3.6	1	1
Rayhov+X3	2.3.7	1	1
RLT	4.2.2	1	1
RMD_HD111	4.2.2	1	1
RSD_V11	4.0.4	1	1
RSD-V2	4.2.2	1	1
RSD-V3	4.0.4	1	1
S0Q00+G980	4.4	1	1
S11	4.2.2	1	1
S3000	4.1.9	1	1
S4	4.1.1	1	1
S5	4.4.3	1	1
S5+	4.3.5	1	1
S500	4.0.5	1	1
S588	4.3.1	1	1
S8600	2.3.4	1	1
S9100S	2.3.5	1	1
S9300_C	2.3.5	1	1
S9300-C	4.2.2	1	1
SA-i930C	4.0.3	1	1
SAGA+A728	2.3.5	1	1
SANNAING	4.0.4	1	1
SANYING+S1	4.2.2	1	1
SCH-I339	2.3.6	1	1
SCH-i579	2.3.4	1	1
SCH-i589	2.3.6	1	1
SCH-I659	2.3.6	1	1
SCH-i809	2.2.2	1	1
SCH-I939D	4.1.2	1	1
SCH-I959	4.2.2	1	1
senyujie	4.0.2	1	1
SGH-I747M	4.1.2	1	1
SGP311	4.3	1	1
SHMA+S1000	4.0.4	1	1
SHV-E120L	4.0.1	1	1
SHV-E120S	4.1.2	1	1
SHV-E300L	4.3	1	1
SHW-M440S	4.1.1	1	1
Simdo_D920	4.0.4	1	1
Simdo_D960	2.3.5	1	1
simdo-D90	4.0.4	1	1
Simdo+E9	4.2.2	1	1
Siwer+A8	4.0.9	1	1
skyhon+H777-A	4.3.2	1	1
skyhon+H999-A	4.3.2	1	1
SL100	2.3.6	1	1
SM-G3509I	4.3	1	1
SM-G3588V	4.3	1	1
SM-G9008W	4.4.2	1	1
SM-Kingpad+E239	2.3.5	1	1
SM-P600	4.3	1	1
SM-T520	4.4.2	1	1
SMM3S8III	4.1.2	1	1
SMMS8L	4.2.2	1	1
SN600S	4.2.2	1	1
SONIC	2.3.5	1	1
SOP-G918	4.0.4	1	1
SOP-G969	4.0.4	1	1
SOP-i5	4.2.2	1	1
SOP-I5	4.2.2	1	1
SOP+G916	2.3.6	1	1
sphs+on+android	4.1.1	1	1
SPHS+on+Hsdroid	4.0.1	1	1
SPHS+on+Hsdroid	4.2.1	1	1
Starcall+Z16-B	4.2.2	1	1
SUNVAN+S858	4.3	1	1
SZF	4.2.2	1	1
SZF-F4	4.2.1	1	1
T-smart+D28	2.3.5	1	1
T-smart+D98X	4.0.3	1	1
T+19	4.2.1	1	1
T01A	4.2.2	1	1
T01米3	4.2.2	1	1
T06	4.2.2	1	1
T2	4.2.2	1	1
T300	4.0.4	1	1
T330B	4.2.2	1	1
T3696	4.1.1	1	1
T40	4.2	1	1
T550	2.3.5	1	1
T5S	4.2.2	1	1
T620A	4.2.2	1	1
T730	4.2.2	1	1
T800_2013	4.0.4	1	1
T806	4.2	1	1
T910	4.0.4	1	1
T910_002	4.0.0	1	1
T910_HZ888	4.0.0	1	1
T9500	2.3.5	1	1
T9688	4.0.7	1	1
T9688	4.1.1	1	1
TCL_A966	2.3.5	1	1
TCL+J320D	4.1.2	1	1
TCL+S500	4.0.4	1	1
TCL+S700T	4.2.2	1	1
TCL+S960	4.2.2	1	1
TD506	4.0.3	1	1
TD668	4.1.1	1	1
TE600+	4.1.2	1	1
Tensent+S9000	2.3.6	1	1
TETC-G20	4.0.4	1	1
TETC-G21	Android_4.0	1	1
TETC-S3	4.2.2	1	1
TETC-W318	4.0.4	1	1
TETC-W318	unknown	1	1
TFTC-B+++N7	4.1.1	1	1
ThL+V12	4.0.3	1	1
ThL+W2	2.3.6	1	1
ThL+W5	4.1.2	1	1
ThL+W7	4.2.1	1	1
TOM	4.2.2	1	1
TOOKY+T1982	2.3.6	1	1
TTP-005	4.3.3	1	1
TYS5	4.2.2	1	1
U1	2.3.6	1	1
u12	4.1.1	1	1
U1203	4.1.2	1	1
U1205	4.2.2	1	1
U16	2.3.6	1	1
U18GT-S	4.1.1	1	1
U20	4.2.2	1	1
U25GT_PRO	4.2.2	1	1
U25GT-C4	4.4.2	1	1
U289B	4.0.3	1	1
U2S	4.1.2	1	1
U55GT	4.2.2	1	1
U6	2.3.4	1	1
U6S	4.0.4	1	1
U8651T	2.3.6	1	1
U9200	4.0.3	1	1
U930A	4.0.4	1	1
U980B	4.1.1	1	1
UMI-R1(TD)	4.2.2	1	1
UOOGOU_Q8	4.2.2	1	1
UOOGOU_X3	4.2.2	1	1
UOOGOU+M3	4.2.2	1	1
UOOGOU+Q7	4.2.1	1	1
UTime_FX	4.2.1	1	1
UTime_X1	4.2.1	1	1
V003D	4.2.2	1	1
V08a	4.2.2	1	1
V10	4.4.4	1	1
V100B	4.3.1	1	1
V11	4.0.7	1	1
V1268	2.3.6	1	1
V13	4.0.2	1	1
V200A	4.0.3	1	1
V3	2.3.6	1	1
V300+	2.3.6	1	1
V63	4.2.2	1	1
V717	4.1.2	1	1
V801+Core4	4.2.2	1	1
V819_3G	4.2.2	1	1
V888	4.2.2	1	1
V8a	4.0.4	1	1
V900	4.2.2	1	1
V917	2.3.5	1	1
V923	2.3.5	1	1
V926D	4.0.2	1	1
V972+Core4	4.2.2	1	1
V975m+Core4	4.3	1	1
V975s+Core4	4.2.2	1	1
V980	4.0.4	1	1
V983	4.0.3	1	1
V987	4.2.1	1	1
VANO+i800	2.3.6	1	1
VB+X1	4.1.7	1	1
VCALL_I929	4.2.2	1	1
Venue+7+3730	4.3	1	1
Venue+7+3736	4.2.2	1	1
VIDO-M10	4.2.2	1	1
Vilovo-V98	4.2.1	1	1
VIMOO+I8100	4.1	1	1
VIMOO+M9	4.2.2	1	1
VIVO	4.2.2	1	1
VIVO	4.4.3	1	1
vivo+X3t	4.2.2	1	1
vivo+Xshot	4.3	1	1
VLAND.FX430	2.3.5	1	1
vollo+Vi+830	2.3.5	1	1
vollo+Vk100	2.3.5	1	1
vollo+Vk202	4.0.3	1	1
VOTO+X2	4.2.1	1	1
voyo+X6	4.2.2	1	1
VS8000+XL	2.3.6	1	1
W105	2.3.6	1	1
W16	4.2.2	1	1
W17PRO(Dualcore)	4.1.1	1	1
W2(MT6589/4核)	4.2.1	1	1
W700	1.3.0.14-RT-20120215.194046	1	1
W80	2.3.6	1	1
W800	4.0.4	1	1
W806	1.6.1.11-RT-20120418.141734	1	1
W818-ZunShang	4.0.3	1	1
W818A	4.2.2	1	1
W9001A	2.3.6	1	1
W99B	2.3.6	1	1
WEE_W2	4.2.2	1	1
WG5701YST	4.2.1	1	1
WM8880-MID	4.2.1	1	1
WP_W11A	4.2.2	1	1
WP-G6	4.2.2	1	1
WP-G6A	4.2.2	1	1
WP-W15C	4.0.4	1	1
WP+G4C	4.2.2	1	1
WT19i	2.3.4	1	1
WTOO+W500	4.3	1	1
WX1	4.2.2	1	1
WX7	4.1.1	1	1
X-702	4.2.2	1	1
X-TWO	2.3.6	1	1
X10	4.3.1	1	1
X12	4.0.9	1	1
X21	4.0.4	1	1
X3	2.3.5	1	1
X3	4.3.1	1	1
X6+	4.1.1	1	1
X6i	4.2.2	1	1
X7	4.0.4	1	1
X7	4.2.1	1	1
X8+精英版	4.0.4	1	1
X8666	4.2.2	1	1
X905	2.3.6	1	1
X905	4.0.3	1	1
XD_4S+	4.2.2	1	1
XD_7S-II	4.2.2	1	1
XD_X5	4.2.2	1	1
XD-X6	4.2.2	1	1
XD9918	4.0.3	1	1
XM	4.2.2	1	1
XM50h	4.3	1	1
XS1	4.2.2	1	1
XS2	4.2.2	1	1
XT910	4.1.2	1	1
XT914	4.1.2	1	1
Y9300	4.0.4	1	1
YEPEN+T400	4.2.2	1	1
YEPEN+T45	4.2.2	1	1
YKQ	4.3.1	1	1
YL-Coolpad+5210S	2.3.5	1	1
yuanda73_gb	2.3.6	1	1
YUSUN+L63	4.3	1	1
YUSUN+T29	2.3.5	1	1
YUSUN+T31	4.0.3	1	1
YUSUN+T35	2.3.5	1	1
YUSUN+T50	4.0.3	1	1
YUSUN+T60	2.3.5	1	1
YUSUN+W306	2.3.6	1	1
YUSUN+W90	4.0.4	1	1
YUYI-D908	4.2.2	1	1
YUYI-Y3	4.2.2	1	1
Z10	4.2.2	1	1
Z6	4.2.2	1	1
Z6_FWVGA_HS	4.0.4	1	1
Z801	4.2.2	1	1
ZD	4.2.1	1	1
ZD618	4.3.0	1	1
ZL105T	4.2.2	1	1
ZL108	4.2.2	1	1
ZORA+T6	4.0.3	1	1
ZOYE+V8	2.3.6	1	1
ZTE-C+N780	2.2.2	1	1
ZTE-C+N880S	2.2.2	1	1
ZTE-U+V960	2.3.5	1	1
ZTE+N790S	2.3.6	1	1
ZTE+N799D	4.1.2	1	1
ZTE+N807	4.1.2	1	1
ZTE+N855D	2.3.6	1	1
ZTE+N880E	4.0.4	1	1
ZTE+N880F	4.0.4	1	1
ZTE+N881E	4.0.4	1	1
ZTE+N900D	4.1.2	1	1
ZTE+N986	4.2.1	1	1
ZTE+Q501T	4.2.2	1	1
ZTE+Q501U	4.2.2	1	1
ZTE+U5S	4.2.2	1	1
ZTE+U807N	4.0.4	1	1
ZTE+U880F	4.0.3	1	1
ZTE+U880s2	2.3.5	1	1
ZTE+U960E	4.0.4	1	1
ZTE+U960s3	4.0.4	1	1
ZTE+V889D	2.3.6	1	1
ZTE+V889M	4.0.4	1	1
ZTE+V9800	4.1.2	1	1
ZUOKU	4.2.2	1	1
ZUOKU_K9	4.2.2	1	1
ZUOKU+K3	4.2.2	1	1
ZUOKU+K5	4.2.2	1	1
ZX-6688	4.2.1	1	1
ZX938(4core/MT6589)	4.3.1	1	1
ZXY-ZTE_N8010	4.0.4	1	1
定制版T5	4.4.4	1	1
青春版	4.2.2	1	1
		"15,988"	"11,031"

